description,category
UPI/P2M/695829655510/COURSERA,Education
UPI/P2M/235190313324/MAKEMYTRIP,Travel & Transport
UPI/P2M/905651248723/JIOMART,Groceries
UPI/P2M/720580055542/BLINKIT,Groceries
UPI/P2M/516707692505/GIFT,Miscellaneous
UPI/P2M/912858056081/UDEMY,Education
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 718635427570 CULTFIT,Health & Fitness
POS DEBIT 150368212498 RELIANCEDIGITAL,Shopping
POS DEBIT 674924389777 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/622027041484/BOOKMYSHOW,Entertainment
POS DEBIT 767884604251 PRIMEVIDEO,Entertainment
POS DEBIT 508477636222 PRIMEVIDEO,Entertainment
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/609699962949/JIOMART,Groceries
UPI/P2M/303624887295/ZERODHA,Investments
NEFT CR-127218317773-SALARY CREDIT,Income
UPI/P2M/850997057280/JIOMART,Groceries
UPI/P2M/539589873294/BSNL,Bills & Utilities
NEFT CR-554634961199-RENTAL INCOME,Income
NEFT CR-772375600920-SALARY CREDIT,Income
POS DEBIT 656046519317 MUTUALFUNDSIP,Investments
NEFT CR-450402330505-RENTAL INCOME,Income
POS DEBIT 415139312652 CASHWITHDRAWAL,Miscellaneous
UPI/P2M/547491807778/NETFLIX.COM,Entertainment
UPI/P2M/165421353137/BOOKMYSHOW,Entertainment
NEFT CR-439178634249-FREELANCE PAYMENT,Income
UPI/P2M/730877110347/GIFT,Miscellaneous
POS DEBIT 885319653219 PRIMEVIDEO,Entertainment
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/241236281449/AMAZON,Shopping
NEFT CR-171788187781-SALARY CREDIT,Income
UPI/P2M/593586170045/JIOMART,Groceries
UPI/P2M/818084210017/BOOKMYSHOW,Entertainment
UPI/P2M/699375544182/BIGBASKET,Groceries
UPI/P2M/688955824345/ZOMATO,Food & Drinks
POS DEBIT 314134142892 CASHWITHDRAWAL,Withdrawals
